orderId,firstName,lastName,dateOfBirth,wipState,dateCreated,address,city,state,zipCode
18724,Naomi,Cross,5/17/1937,Complete,6/23/2020,"P.O. Box 917, 1502 Leo Avenue",Outremont,MA,49594
18719,Ava,Madden,7/14/1944,Need More Info,9/2/2020,6640 Malesuada Avenue,Tongrinne,MA,49594
26039,Rhea,Rosa,9/7/1964,Out for Delivery,9/10/2020,4619 At St.,San Damiano al Colle,MA,49594
44900,Sandra,Nash,6/25/1994,Not yet created,6/14/2020,Ap #211-1866 Quisque St.,Biez,MA,49594
41244,Lilah,Dean,6/28/1980,In Progress,8/30/2020,139-6592 Ut Avenue,Vitrolles,MA,76238
20248,Aretha,Leonard,5/14/1952,Complete,8/1/2020,"P.O. Box 472, 7027 Sed Ave",Pembroke,MA,76238
19513,Damian,Decker,4/10/1951,Need More Info,10/10/2020,"P.O. Box 115, 7157 Dui. Avenue",Aparecida de Goiânia,CT,76238
40237,Gareth,Wilkerson,10/31/1950,Out for Delivery,6/21/2020,1945 Donec Street,Civo,CT,76238
56518,Daphne,Hensley,12/23/1976,Not yet created,8/7/2020,"P.O. Box 340, 3349 Quis Rd.",San Javier,CT,76238
56915,Phillip,Henson,6/23/1983,In Progress,7/19/2020,834-7400 Eu Rd.,Poucet,CT,76238
48029,Karina,Curtis,1/10/1960,Complete,11/7/2020,Ap #642-6891 Duis Av.,Brechin,CT,76238
56833,Beatrice,Cruz,10/10/2029,Need More Info,8/24/2020,439-6254 Gravida St.,Bienne-lez-Happart,CT,76238
40238,Xander,Livingston,1/8/1966,Out for Delivery,9/27/2020,4016 Curabitur Street,Linlithgow,CT,76238
12767,Alvin,Gillespie,5/21/1979,Not yet created,6/2/2020,Ap #657-5951 Purus Street,Rionegro,CT,76238
31146,Laura,Burks,2/18/1970,In Progress,7/13/2020,"P.O. Box 677, 9056 Nonummy St.",Athens,CT,27849
25438,Amery,Byers,4/30/2028,Complete,9/12/2020,606-7738 Diam Street,Nantes,CT,27849
11178,Kamal,Ortiz,2/7/1970,Need More Info,9/17/2020,368-9557 Varius. Av.,Grayvoron,CT,27849
27449,Karina,Randall,5/7/1955,Out for Delivery,9/16/2020,Ap #294-9117 Orci Avenue,Villach,CT,27849
38586,Jescie,Vaughn,1/15/1962,Not yet created,8/29/2020,Ap #220-9243 Consequat Ave,Karimnagar,CT,27849
13300,Basil,Hendricks,1/19/1960,In Progress,9/23/2020,"P.O. Box 763, 5113 Maecenas Avenue",Sobral,CT,27849
23361,Dahlia,Burt,8/25/1970,Complete,6/24/2020,"P.O. Box 419, 6718 Sem Rd.",College,CT,27849
11043,Arsenio,Baldwin,10/24/1968,Need More Info,10/29/2020,3277 Vulputate Street,Norderstedt,MA,27849
57706,Aristotle,Koch,1/30/1980,Out for Delivery,6/23/2020,Ap #990-9926 Integer Road,Dover,MA,27849
37215,Damian,Hardin,2/8/1980,Not yet created,11/6/2020,4367 Ornare Ave,Henstedt-Ulzburg,MA,27849
32746,Haley,Faulkner,1/21/1966,In Progress,9/8/2020,"4778 Vitae, Road",Longueville,MA,27849
23267,Alfreda,Rowland,7/14/1953,Complete,7/8/2020,"P.O. Box 467, 4689 Non Road",Welland,MA,27849
54014,Kelly,Church,6/10/1936,Need More Info,8/21/2020,9811 Neque. St.,Des Moines,MA,27849
27241,Robin,Beach,3/20/2028,Out for Delivery,11/4/2020,"P.O. Box 724, 2082 Laoreet, Road",Hattiesburg,CT,27849
15133,Piper,Sellers,9/25/1964,Not yet created,8/15/2020,494-8156 Semper Street,Schoonaarde,CT,27849
48819,Amos,Acevedo,6/17/1990,In Progress,9/27/2020,Ap #254-6355 Etiam Ave,Drumheller,CT,27849
28442,Mira,Parker,11/18/1970,Complete,10/21/2020,461-8383 Sed St.,Gillette,CT,27849
37883,Jemima,Pittman,9/9/1946,Need More Info,9/9/2020,Ap #492-4395 Odio St.,Newquay,CT,27849
45980,Damon,Gentry,10/20/1930,Out for Delivery,9/7/2020,Ap #393-6598 Lacus. Avenue,Logroño,CT,27849
45992,Anika,Mcgowan,5/29/1966,Not yet created,10/10/2020,"P.O. Box 895, 4596 Elit Rd.",Pemuco,CT,27849
40133,Imelda,Morin,4/20/1994,In Progress,6/8/2020,Ap #137-5779 Lorem Street,Barahanagar,CT,73373
42397,Anastasia,Mckenzie,2/21/1993,Complete,7/6/2020,7702 Lobortis St.,Aschersleben,CT,73373
38070,Reese,Riddle,12/8/1939,Need More Info,10/29/2020,Ap #161-173 Aliquet Av.,Gimpo,CT,73373
20168,Dylan,Gilliam,3/3/1947,Out for Delivery,7/1/2020,"P.O. Box 929, 9262 Aenean Rd.",San Javier,CT,73373
54084,Nevada,Cameron,6/23/1987,Not yet created,8/31/2020,Ap #105-6237 Ultricies Street,Innisfail,CT,73373
45044,Wynter,Burns,3/13/1962,In Progress,9/26/2020,"P.O. Box 506, 5799 Proin Avenue",Villata,CT,73373
14380,Ivan,Boyle,4/23/1990,Complete,6/20/2020,4915 Dolor Road,Saint-Prime,CT,73373
49837,Sean,Conway,4/8/1932,Need More Info,7/17/2020,"P.O. Box 392, 4969 Sagittis St.",Amqui,CT,73373
44506,Alvin,Chen,11/28/1981,Out for Delivery,9/21/2020,Ap #616-788 Magna. Ave,Thalassery,MA,73373
45681,Shelly,Woodward,2/21/1968,Not yet created,11/8/2020,4092 Dictum Avenue,Valda,MA,73373
26126,Vance,Tanner,8/7/1982,In Progress,6/28/2020,667-6941 Eleifend Av.,Villingen-Schwenningen,MA,73373
35164,Kadeem,Gregory,3/24/1953,Complete,6/18/2020,"P.O. Box 421, 4782 Nulla Road",Hindupur,MA,73373
36416,Kirk,Mclean,8/21/1982,Need More Info,11/7/2020,426-3343 Cursus Av.,Steenhuffel,MA,73373
13191,Hedy,Puckett,5/23/1961,Out for Delivery,8/14/2020,"P.O. Box 364, 1291 Nisi. Street",Rewa,MA,73373
31012,Warren,Faulkner,4/14/1977,Not yet created,7/9/2020,"P.O. Box 540, 8972 Erat Rd.",Akron,CT,73373
51526,Knox,Torres,10/31/1960,In Progress,7/22/2020,3537 Nec St.,Allumiere,CT,10325
16283,Eden,Mcknight,10/11/1961,Complete,10/24/2020,Ap #640-9910 Vitae Rd.,Dingwall,CT,10325
58050,Sebastian,Pratt,2/18/2028,Need More Info,10/31/2020,623 Quisque Road,Pamel,CT,10325
42464,Halla,Cotton,4/2/1951,Out for Delivery,6/27/2020,Ap #693-8726 Morbi St.,Lowell,CT,10325
40013,Isaiah,Glass,6/10/1951,Not yet created,9/28/2020,Ap #583-1321 Arcu St.,Flint,CT,10325
20758,Cooper,Poole,9/13/1979,In Progress,7/8/2020,Ap #457-6653 Integer Road,Cowdenbeath,CT,10325
40150,Ferris,Dominguez,3/6/1982,Complete,8/24/2020,265-3291 Risus Street,Colli a Volturno,CT,10325
59178,Julian,Page,12/31/1951,Need More Info,6/13/2020,5938 Eget Road,Shreveport,CT,10325
21231,Bruce,Mathews,1/21/1995,Out for Delivery,7/12/2020,912-8128 Suspendisse Street,Schaarbeek,CT,10325
26382,Malcolm,Lamb,7/11/1977,Not yet created,9/21/2020,"P.O. Box 225, 301 Semper Avenue",Lodelinsart,CT,10325
36904,Jocelyn,Holman,3/13/1985,In Progress,6/5/2020,"5987 At, Rd.",Leduc,MA,10325
43626,Carolyn,Simmons,12/6/1983,Complete,8/10/2020,5033 Aliquam Rd.,Bergeggi,MA,10325
10714,Darrel,Fry,3/27/1943,Need More Info,9/1/2020,368-5989 Mollis. Ave,Sant'Agata sul Santerno,MA,10325
55274,Ferdinand,Jarvis,1/20/1948,Out for Delivery,6/14/2020,1992 Natoque Avenue,Casperia,MA,10325
27513,Timon,Huffman,3/11/1962,Not yet created,6/1/2020,272-3487 Nascetur St.,Arnesano,MA,10325
